user_id,email,first_name,last_name,signup_date,country,age,customer_segment
60,jarmstrong@example.net,Jennifer,Crawford,2023-10-06,Marshall Islands,24,Standard
61,kbonilla@example.org,Kayla,Brown,2023-12-07,Myanmar,46,Basic
62,stewartaaron@example.com,Mary,Pham,2024-10-13,Suriname,21,Standard
63,freemanchristopher@example.net,Eric,Carson,2025-03-02,Trinidad and Tobago,41,Basic
64,swright@example.com,Joseph,Owens,2024-12-15,Svalbard & Jan Mayen Islands,46,Basic
65,harold89@example.net,Veronica,Hardin,2024-08-06,Italy,52,Basic
66,elliottnicholas@example.org,Cynthia,Wiggins,2025-04-27,Benin,38,Basic
67,tstevenson@example.net,Andrew,Ross,2023-10-02,Czech Republic,43,Premium
68,hallapril@example.com,Dalton,Moore,2024-05-12,Malawi,69,Standard
69,gary49@example.net,David,Ruiz,2024-05-25,Chad,70,Premium
70,montgomeryjoel@example.net,George,Stephens,2023-09-19,Portugal,53,Basic
71,bking@example.org,Cory,Baker,2024-08-22,Estonia,50,Basic
72,alove@example.org,Rhonda,Davis,2025-06-05,Greece,38,Standard
73,carla78@example.com,Julie,Dennis,2024-01-12,Serbia,67,Premium
74,daniel91@example.net,David,Miller,2024-09-12,Djibouti,34,Basic
75,brian36@example.com,Vincent,Taylor,2024-10-14,Gabon,38,Premium
76,robertblack@example.com,Monica,Mathis,2024-05-09,Ukraine,57,Basic
77,rodriguezcharles@example.com,Shannon,Rice,2024-03-03,Israel,69,Standard
78,geoffrey66@example.net,Victoria,Reid,2024-04-09,Rwanda,67,Basic
79,gfarrell@example.net,Whitney,Valdez,2024-10-30,Italy,24,Premium
80,ashley72@example.org,Amanda,Thompson,2024-11-30,Cook Islands,47,Basic
81,tlong@example.net,Elizabeth,Curry,2025-01-10,San Marino,67,Basic
82,fwatson@example.org,Anthony,Mcconnell,2024-06-11,France,46,Basic
83,derek86@example.org,Karen,Adams,2024-06-21,Poland,21,Basic
84,davidjackson@example.com,Aaron,Martinez,2024-04-10,Guinea,59,Standard
85,melissajoseph@example.org,Rachel,Jimenez,2024-12-23,Kiribati,33,Standard
86,kiaraturner@example.org,Alexandra,King,2024-01-04,Bosnia and Herzegovina,42,Standard
87,joseph50@example.net,Devin,Cummings,2023-08-11,Tokelau,18,Basic
88,ahill@example.com,Maria,Wright,2023-12-01,Northern Mariana Islands,25,Basic
89,heatherbarton@example.net,Kristopher,Wright,2025-03-20,Bouvet Island (Bouvetoya),69,Premium
90,lindseylong@example.org,Christian,Smith,2023-07-10,Cocos (Keeling) Islands,48,Basic
91,xcunningham@example.org,Julia,Carney,2024-04-29,Puerto Rico,62,Premium
92,reyeschristopher@example.net,Dana,Martin,2025-02-14,Morocco,43,Standard
93,nblanchard@example.net,Katrina,Washington,2024-06-01,British Virgin Islands,42,Standard
94,andrea17@example.org,Amanda,Long,2025-01-28,Bolivia,70,Basic
95,steven40@example.net,Melissa,Fernandez,2023-10-29,Maldives,25,Premium
96,thomasbutler@example.net,Melanie,Wallace,2024-02-24,Rwanda,56,Premium
97,hardinandre@example.org,Robert,Wilson,2023-09-13,Afghanistan,36,Basic
98,reginaduffy@example.org,Jerome,Ruiz,2023-08-02,Northern Mariana Islands,36,Standard
99,aarnold@example.net,Richard,Barnes,2024-02-25,Cook Islands,56,Basic
100,ymartin@example.org,Robert,Carpenter,2025-01-17,Jamaica,32,Basic
101,hcoleman@example.org,Valerie,Thomas,2023-12-10,Seychelles,30,Basic
102,mary69@example.net,Daniel,Butler,2024-07-25,Central African Republic,64,Premium
103,nhudson@example.org,Randy,Boyd,2023-07-22,Guyana,44,Basic
104,jeremy12@example.net,Elizabeth,Morrison,2023-11-05,Belarus,64,Premium
105,dillonadam@example.com,Taylor,Taylor,2024-09-04,Romania,66,Standard
106,jeremyfoster@example.org,Megan,Long,2025-06-23,Nepal,22,Basic
107,cwilliams@example.net,Laura,Richards,2024-02-14,Vietnam,64,Standard
108,uhanna@example.org,Matthew,Porter,2024-07-11,Palau,31,Standard
109,daviscandice@example.com,Joanne,Stevenson,2023-07-26,Saudi Arabia,54,Standard
110,murrayelizabeth@example.org,Melanie,Morrow,2024-02-15,Angola,54,Premium
111,uturner@example.com,Susan,Mcfarland,2023-12-01,New Caledonia,40,Standard
112,lopezalexis@example.net,Christine,Hunt,2023-12-05,Singapore,33,Premium
113,johnsonreginald@example.net,Brian,Fields,2025-03-31,Tokelau,41,Basic
114,william21@example.com,Amy,Singh,2025-06-16,Singapore,40,Premium
115,fchang@example.org,Richard,Cobb,2025-01-03,Kazakhstan,43,Premium
116,webberic@example.com,Sabrina,Johns,2025-02-11,Austria,19,Basic
117,meltonrichard@example.net,Kimberly,Norris,2023-08-01,Wallis and Futuna,52,Standard
118,barbara72@example.net,Rebecca,Cowan,2024-10-26,Samoa,51,Basic
119,baldwinmichael@example.org,Timothy,Wu,2024-12-14,Lithuania,57,Standard
120,evanwilson@example.net,Mary,Moore,2025-04-25,Palestinian Territory,47,Premium
121,michelle83@example.org,Morgan,Lane,2025-02-08,Reunion,65,Standard
122,mgomez@example.org,Tammy,Best,2025-01-01,Italy,23,Basic
123,ojensen@example.org,Jacob,Ramirez,2024-01-30,Niue,18,Premium
124,frederick90@example.net,Jeffrey,Jackson,2024-07-29,Kyrgyz Republic,41,Basic
125,vcole@example.org,Bryan,Foster,2023-12-14,Greenland,54,Premium
126,uhenderson@example.org,Jonathan,Miller,2024-12-03,Zimbabwe,52,Basic
127,lambertbarbara@example.org,Bruce,Rodriguez,2024-01-31,Australia,44,Premium
128,grantjoseph@example.com,Michael,Roth,2025-03-02,Malawi,63,Premium
129,lfoster@example.com,Robin,Cox,2025-02-16,Tajikistan,66,Standard
130,aaronberry@example.com,Taylor,Estrada,2023-09-17,Turks and Caicos Islands,22,Basic
131,jennifer94@example.net,Tony,Hendricks,2024-06-16,Portugal,49,Standard
132,angelaschmitt@example.net,Melissa,Spencer,2024-01-17,Kazakhstan,52,Basic
133,joshuawalter@example.net,Patrick,Barajas,2024-03-28,Montserrat,21,Premium
134,monica53@example.org,Erik,Carter,2024-03-20,Madagascar,53,Basic
135,kyle25@example.net,Jerry,Sawyer,2025-05-23,South Georgia and the South Sandwich Islands,67,Standard
136,nathanshepard@example.com,Zachary,Harrison,2025-03-12,Myanmar,68,Basic
137,berrydonna@example.net,Dale,Harrison,2025-04-04,Monaco,19,Basic
138,psmith@example.com,Maria,Martin,2024-01-29,Kenya,51,Standard
139,gregoryrose@example.net,Jesse,Harrington,2024-12-16,South Georgia and the South Sandwich Islands,44,Basic
140,johnsontammy@example.net,Pamela,Dunn,2025-06-11,Uzbekistan,41,Standard
141,ospencer@example.net,Thomas,Barnett,2024-03-11,Hungary,65,Standard
142,jonathanwilson@example.org,Jose,Henry,2024-02-17,Gambia,69,Basic
143,samanthaferguson@example.com,Diana,Jackson,2025-06-02,Germany,62,Basic
144,meganphillips@example.net,Tristan,Singleton,2023-08-29,Antigua and Barbuda,20,Standard
145,williamtaylor@example.net,Bryan,Hill,2023-10-17,Central African Republic,26,Standard
146,mgarcia@example.org,Darryl,Jones,2025-06-11,Bhutan,47,Basic
147,richardbryant@example.com,Gene,Burke,2024-08-04,Aruba,62,Standard
148,paul50@example.com,Adam,Hester,2023-09-13,Algeria,24,Premium
149,glovermiguel@example.net,Elizabeth,Smith,2024-11-14,Venezuela,24,Premium
150,jenna84@example.org,Paul,Hill,2024-08-21,Saint Kitts and Nevis,49,Premium
151,gschroeder@example.net,Gary,Cohen,2025-05-17,Micronesia,50,Standard
152,ggibson@example.com,Elijah,Scott,2024-04-17,Cayman Islands,61,Basic
153,stacey86@example.net,Christopher,Zimmerman,2024-01-09,Barbados,25,Basic
154,robinsonjoel@example.org,Reginald,Davis,2023-09-24,Turkey,58,Basic
155,beasleycurtis@example.org,Marc,Price,2025-02-17,Afghanistan,30,Basic
156,jonathanwright@example.org,Jasmine,Perez,2024-07-10,Armenia,59,Standard
157,richardsstephanie@example.com,Richard,Jones,2024-08-24,Antigua and Barbuda,65,Premium
158,wwang@example.com,Tiffany,Clark,2023-12-09,Chad,42,Standard
159,cbennett@example.com,Angela,Lee,2024-05-06,Belarus,20,Basic
160,ruizjeffrey@example.net,Jill,Shields,2024-06-07,Kenya,30,Premium
161,williecraig@example.com,Miranda,Mendez,2025-05-03,Panama,25,Standard
162,mholmes@example.com,Craig,Torres,2023-08-18,Christmas Island,44,Premium
163,garymccall@example.org,Jose,Stevens,2024-07-24,Ukraine,28,Basic
164,sarah39@example.com,Michael,Ward,2023-09-04,Dominica,24,Standard
165,wendychambers@example.com,Ryan,Cummings,2024-05-28,Niger,69,Standard
166,thompsonronald@example.com,Jeffery,Perry,2023-10-14,New Zealand,25,Standard
167,davisjesse@example.org,Steven,Valdez,2024-12-15,Kyrgyz Republic,33,Standard
168,nicholasdavenport@example.com,Joshua,Marquez,2024-12-27,Botswana,54,Standard
169,amandaharris@example.net,Mallory,Gibbs,2024-06-09,Lao People's Democratic Republic,37,Premium
170,brittany80@example.net,Candice,Chase,2025-01-28,Netherlands Antilles,59,Premium
171,brianthompson@example.com,Keith,Baker,2024-02-19,Nauru,34,Standard
172,lorirussell@example.com,Tammy,Santiago,2024-03-09,Switzerland,31,Standard
173,oliviacombs@example.org,Patrick,Stevens,2025-05-17,Guatemala,19,Standard
174,nicolegreen@example.com,Alan,Lopez,2024-04-10,Romania,30,Basic
175,meadowswilliam@example.net,Kathleen,Tanner,2023-10-20,Taiwan,46,Standard
176,vasquezjames@example.com,Patrick,Carter,2024-05-26,Western Sahara,38,Premium
177,amandamiller@example.com,Martha,Hardy,2023-12-06,Swaziland,49,Basic
178,vkerr@example.com,Eric,Brown,2024-01-04,Guatemala,30,Standard
179,ashley00@example.net,Debra,Fox,2024-03-17,Micronesia,47,Basic
180,singhlaura@example.net,Johnathan,Hendricks,2023-08-11,Serbia,53,Standard
181,snyderisaac@example.net,Michael,Kirk,2024-03-30,Saint Barthelemy,46,Basic
182,qhill@example.org,Brian,Key,2023-07-08,Bouvet Island (Bouvetoya),23,Basic
183,maurice84@example.com,Karen,Alexander,2024-07-15,Uzbekistan,53,Standard
184,parksanthony@example.net,Gary,Richardson,2023-10-16,Uzbekistan,41,Basic
185,davidking@example.net,Victoria,Petty,2024-03-09,Guinea-Bissau,50,Basic
186,adean@example.org,Michael,Vasquez,2024-08-11,Palau,36,Premium
187,reesekrystal@example.com,Daniel,Beasley,2024-03-16,Somalia,57,Standard
188,sonyariley@example.org,Robert,Fox,2025-05-13,Cote d'Ivoire,60,Premium
189,vanessamedina@example.com,Danielle,Riddle,2024-06-18,Lithuania,55,Basic
190,idaniel@example.net,Kelsey,Boyd,2024-01-26,Sudan,46,Basic
191,jdeleon@example.org,Joel,Thomas,2023-09-16,Central African Republic,31,Standard
192,colejacqueline@example.com,James,Matthews,2025-06-02,Mali,32,Standard
193,scott90@example.org,Michelle,Boyd,2025-05-05,Montserrat,34,Premium
194,gabrielcoleman@example.org,Rebecca,Haynes,2023-07-26,Finland,62,Standard
195,gardnerrichard@example.com,Lisa,Peterson,2024-01-07,Niue,27,Basic
196,laurengarcia@example.net,Charles,Watson,2024-08-24,Estonia,54,Standard
197,sarabowen@example.com,Jessica,Evans,2023-09-29,Colombia,18,Premium
198,travis39@example.org,Jacob,Vaughn,2025-06-13,Serbia,40,Basic
199,yortega@example.net,Christina,Flowers,2024-04-06,Mozambique,25,Basic
200,mccoycarol@example.org,Jared,Ellis,2024-06-22,Tunisia,47,Basic
201,robinsonelizabeth@example.net,Mark,Mills,2023-12-19,Bulgaria,67,Premium
202,chadthomas@example.org,Julie,Matthews,2024-02-10,Armenia,62,Premium
203,pmiller@example.net,Andrea,Oneal,2025-05-10,United States Virgin Islands,65,Basic
204,nathaniel75@example.org,Scott,Sandoval,2024-12-13,Micronesia,40,Basic
205,barnesleslie@example.org,David,Hodge,2025-03-15,Denmark,34,Standard
206,johnnguyen@example.org,Abigail,Cook,2024-07-06,Lithuania,44,Basic
207,timothymercado@example.com,Pamela,Bell,2024-09-11,Nauru,54,Basic
208,lidaniel@example.org,Curtis,Kim,2023-09-24,Anguilla,64,Premium
209,garciajessica@example.org,Samuel,Williams,2024-08-08,British Virgin Islands,53,Premium
210,nguyendaniel@example.org,Alex,Ayala,2023-08-19,Bangladesh,22,Basic
211,brianhudson@example.net,Laura,Kelley,2024-08-24,Equatorial Guinea,33,Premium
212,samantha10@example.com,Ryan,Howard,2023-10-19,Lao People's Democratic Republic,57,Basic
213,lorraine15@example.net,Susan,Hurst,2023-09-15,Lebanon,49,Basic
214,harringtonthomas@example.net,John,Murphy,2023-07-10,Burkina Faso,33,Premium
215,perezmelissa@example.com,David,Dawson,2023-08-24,Finland,64,Premium
216,danielsclifford@example.com,Caleb,Hurley,2023-10-25,Mauritania,22,Premium
217,april65@example.net,Catherine,Turner,2024-05-02,Swaziland,29,Standard
218,qwong@example.org,Blake,Fry,2024-10-24,French Southern Territories,63,Standard
219,johnsonmichaela@example.com,Nathan,Avila,2023-10-04,Kyrgyz Republic,66,Basic
220,ckirk@example.com,Miguel,Joseph,2023-09-23,Vanuatu,64,Standard
221,oscarmiller@example.org,Susan,Robinson,2025-05-26,Nigeria,27,Premium
222,tclayton@example.com,Bryan,Mercado,2024-05-31,Peru,50,Premium
223,nelsonmargaret@example.com,Marisa,Thomas,2025-04-12,Lebanon,29,Standard
224,james25@example.com,Ann,Prince,2024-05-23,Malaysia,32,Standard
225,johnstonjessica@example.net,Emily,Stevens,2023-08-31,Libyan Arab Jamahiriya,33,Premium
226,josephhines@example.com,Chase,Owen,2025-06-20,Heard Island and McDonald Islands,46,Basic
227,kwilliams@example.net,Edward,Huff,2024-11-30,Isle of Man,48,Premium
228,christy36@example.net,Johnny,Lee,2023-12-13,Portugal,67,Standard
229,ryanlee@example.org,Ruben,Blankenship,2025-05-21,Sudan,41,Standard
230,rodriguezpatricia@example.org,Mario,Nelson,2025-01-29,Somalia,50,Basic
231,yhebert@example.org,Carol,Martinez,2024-10-02,Hungary,49,Basic
232,carteralan@example.org,John,Moreno,2024-01-01,Cyprus,65,Basic
233,holderlori@example.net,Robert,Baker,2023-10-28,Serbia,53,Basic
234,glewis@example.net,Brandon,Scott,2023-07-19,Tunisia,20,Premium
235,williamjohnson@example.org,Donald,Henderson,2024-03-29,Slovakia (Slovak Republic),65,Standard
236,costatravis@example.org,Lisa,Moyer,2023-12-06,Turks and Caicos Islands,31,Basic
237,pbrown@example.net,Andres,Williams,2025-04-19,Swaziland,33,Standard
238,bwhite@example.com,Andrew,Mcpherson,2023-12-05,Tonga,53,Basic
239,ryan82@example.com,Steven,Miller,2023-11-26,Reunion,23,Premium
240,clintonharris@example.com,Michael,Jones,2025-06-23,Nicaragua,51,Standard
241,hallbailey@example.org,Melissa,Cruz,2024-08-08,Bermuda,35,Standard
242,krobinson@example.org,Jonathan,Walters,2024-08-19,Sao Tome and Principe,52,Premium
243,bobbyodom@example.net,Donna,Mcbride,2024-03-08,Svalbard & Jan Mayen Islands,52,Basic
244,sabrina69@example.com,Michael,Weaver,2023-09-08,Micronesia,56,Premium
245,matashannon@example.net,Mark,Murphy,2023-12-22,Mali,24,Standard
246,usutton@example.com,Ryan,Turner,2024-03-01,Bulgaria,39,Standard
247,gabrielle55@example.net,Paula,Skinner,2023-07-01,Spain,43,Standard
248,watsoncathy@example.org,Robert,Wright,2024-02-24,Egypt,36,Basic
249,donnashaw@example.com,Dawn,Jennings,2024-11-18,Greece,63,Premium
250,ellismelissa@example.org,Christopher,Martin,2023-11-09,Jamaica,64,Premium
251,sullivanrobert@example.org,Brian,Collier,2024-01-01,Seychelles,36,Premium
252,hallcolleen@example.com,Linda,Smith,2023-07-11,Cuba,19,Premium
253,vortiz@example.org,Susan,Curry,2025-06-15,Niger,38,Standard
254,swansonsamuel@example.com,Jennifer,King,2024-12-13,Brunei Darussalam,40,Standard
255,kathy31@example.com,Jason,Pollard,2024-06-17,Cyprus,19,Basic
256,leeallison@example.com,Martin,Chang,2024-03-13,Christmas Island,64,Standard
257,angelaallen@example.com,James,Hanson,2024-03-04,Saint Helena,46,Standard
258,jeffreygordon@example.org,Luis,Nguyen,2023-08-06,Guatemala,29,Premium
259,rodriguezbrittany@example.net,Dylan,Guerra,2025-06-21,Gabon,70,Standard
260,kcannon@example.com,Lindsey,Phillips,2025-03-15,Slovakia (Slovak Republic),26,Premium
261,eyork@example.org,Joseph,Molina,2025-05-23,Norway,69,Basic
262,sarahgarcia@example.net,Haley,Hayes,2023-11-24,Guinea,45,Basic
263,wwilson@example.net,Daniel,Macias,2024-09-01,Singapore,40,Standard
264,uhawkins@example.org,Shannon,Smith,2025-01-02,Hungary,68,Basic
265,ustewart@example.org,Clinton,Blair,2024-11-25,Saint Barthelemy,54,Basic
266,john76@example.net,Kathleen,Harris,2023-08-26,Norway,56,Premium
267,vhill@example.net,James,Evans,2025-01-19,Egypt,22,Basic
268,ywheeler@example.net,Jennifer,Caldwell,2024-06-20,Israel,38,Basic
269,zyoung@example.net,John,Davies,2023-09-01,Ethiopia,48,Standard
270,kaitlyncervantes@example.com,Gabriela,Martin,2024-09-13,Andorra,69,Standard
271,fortiz@example.com,Janet,Blair,2025-05-08,Mexico,49,Standard
272,marshallkatie@example.com,Janet,Knight,2024-07-18,Ukraine,60,Premium
273,kskinner@example.org,Ashley,Leach,2025-04-28,Russian Federation,62,Basic
274,kevincarr@example.com,Kevin,Shepherd,2025-03-30,China,30,Standard
275,zacharyerickson@example.com,Lawrence,Anderson,2023-07-04,Ireland,62,Premium
276,dmartinez@example.net,Sarah,Gray,2024-05-21,Afghanistan,58,Basic
277,williamholden@example.net,Christopher,Cortez,2023-11-28,Norfolk Island,22,Premium
278,susan73@example.net,Sandra,Burke,2023-08-23,Vietnam,50,Premium
279,shorne@example.net,Lawrence,Phillips,2024-05-13,Zimbabwe,70,Standard
280,sherry85@example.net,Travis,Coleman,2024-09-25,Puerto Rico,42,Basic
281,ggaines@example.com,Brandon,Soto,2024-05-03,Mongolia,49,Standard
282,reidjustin@example.com,Scott,Vazquez,2023-06-25,United Kingdom,34,Premium
283,amiller@example.net,Joseph,Lee,2024-06-01,Netherlands Antilles,39,Basic
284,lauren87@example.org,Kenneth,Patel,2023-07-24,Montserrat,50,Basic
285,rebeccareyes@example.org,Jose,Brown,2023-11-12,Mayotte,33,Standard
286,jared28@example.net,Derek,Barnett,2023-08-27,Gabon,69,Standard
287,barbara76@example.net,Joseph,Allen,2024-08-13,Netherlands,47,Premium
288,brownrenee@example.net,Kyle,Martin,2024-07-14,Netherlands Antilles,70,Basic
289,curtis43@example.com,Kevin,Lopez,2024-08-02,Nepal,36,Premium
290,hillmichael@example.org,Michael,Ramirez,2024-11-03,Fiji,49,Standard
291,oreid@example.com,Virginia,Jones,2024-04-03,Djibouti,33,Standard
292,kennethgraves@example.com,Vincent,Campbell,2025-06-01,Togo,33,Standard
293,kmiller@example.org,Robert,Stevenson,2023-10-06,Jordan,62,Premium
294,hgarcia@example.com,James,Stewart,2023-09-09,Western Sahara,55,Premium
295,stonekendra@example.org,Deanna,Matthews,2023-09-18,Jamaica,27,Standard
296,kingjennifer@example.com,Kenneth,Crawford,2024-11-03,Papua New Guinea,60,Premium
297,victoriarobinson@example.org,Mark,Alvarez,2025-05-26,Nauru,66,Basic
298,curtis80@example.net,Erika,Rodriguez,2023-06-27,Lesotho,42,Premium
299,hancocksherry@example.org,Tammy,Franklin,2024-06-28,Korea,67,Standard
300,chelseagonzalez@example.net,Natalie,Miller,2025-06-20,Montenegro,27,Premium
301,ichambers@example.net,Eric,Robinson,2023-12-09,British Indian Ocean Territory (Chagos Archipelago),34,Premium
302,karenhall@example.org,Deanna,Robinson,2023-12-03,Tokelau,45,Standard
303,grodriguez@example.com,Barbara,Maddox,2024-01-07,Nauru,56,Premium
304,gsmith@example.org,Samantha,Jennings,2024-12-21,Fiji,44,Basic
305,boltonnicole@example.net,Jennifer,Mitchell,2024-03-18,Montenegro,53,Premium
306,travisjohnson@example.com,Eric,Norman,2024-03-03,Jersey,33,Basic
307,jamesmontgomery@example.com,Daniel,Krueger,2024-05-20,Papua New Guinea,19,Premium
308,tfrye@example.net,Sandra,Crawford,2024-08-07,Cambodia,49,Premium
309,iortiz@example.net,Robert,Howard,2024-05-20,Saint Lucia,68,Standard
310,breanna02@example.com,Sandra,Walters,2025-01-01,Argentina,19,Premium
311,ihernandez@example.com,Jamie,Johnson,2024-12-31,United States of America,24,Basic
312,ywilliams@example.com,Nichole,Santana,2023-07-01,Russian Federation,43,Standard
313,kristaadams@example.org,Edward,Hill,2024-06-17,French Polynesia,18,Premium
314,adavis@example.com,Joshua,Weeks,2023-12-25,Jersey,50,Basic
315,jeffreyturner@example.net,Kyle,Spears,2025-03-10,Peru,41,Premium
316,hwebster@example.org,Carolyn,Perez,2023-06-27,Bhutan,70,Premium
317,igarcia@example.net,Anthony,Moran,2024-02-04,Rwanda,42,Premium
318,jcampbell@example.com,Lori,Davis,2024-12-21,Falkland Islands (Malvinas),54,Standard
319,madisonbuchanan@example.org,Stephanie,Carroll,2023-10-08,Sudan,68,Standard
320,vincentmoore@example.com,Maria,Stephenson,2024-07-18,Colombia,38,Standard
321,daviskevin@example.org,Anthony,Cook,2024-12-30,Saint Kitts and Nevis,67,Standard
322,davidwhite@example.org,Julie,Lawrence,2023-11-15,French Polynesia,70,Basic
323,rileydavid@example.org,Sonya,Jackson,2024-09-24,Nigeria,21,Premium
324,jennifer01@example.net,Edward,Watson,2024-10-25,Samoa,57,Basic
325,bryanglass@example.org,Joshua,Farmer,2025-05-15,Malta,47,Premium
326,henrychristopher@example.org,Jerry,Williams,2025-01-27,Bahamas,68,Basic
327,kristenrodriguez@example.org,Rebecca,Hicks,2024-01-27,Uzbekistan,37,Basic
328,thanna@example.com,Pamela,Patel,2024-06-08,Vietnam,29,Basic
329,lindayoung@example.net,Chad,Burns,2024-03-18,Mongolia,46,Basic
330,robert01@example.net,Jeffrey,Elliott,2024-07-16,Slovakia (Slovak Republic),18,Premium
331,anthony60@example.com,Lisa,Green,2024-01-15,Ireland,38,Premium
332,erica75@example.net,Jason,Martin,2023-08-01,Grenada,58,Basic
333,williamsrachel@example.org,Joseph,Glenn,2025-06-04,Panama,59,Basic
334,brian51@example.org,Emily,Crawford,2024-09-23,British Indian Ocean Territory (Chagos Archipelago),54,Basic
335,melissa21@example.net,Stacy,Gross,2024-01-31,Bosnia and Herzegovina,57,Premium
336,elizabethjones@example.com,Robert,Nguyen,2024-10-05,Lao People's Democratic Republic,66,Standard
337,devinhunt@example.org,Melissa,Duncan,2024-04-19,Chad,27,Premium
338,roy76@example.net,Michael,Ramirez,2025-04-29,Kenya,24,Standard
339,arnoldwhitney@example.net,Alexander,Salazar,2024-08-07,Switzerland,53,Standard
340,joeanderson@example.org,Thomas,Williams,2023-08-07,Madagascar,26,Standard
